Date,EURUSD
2024-03-07,1.03422
2024-03-08,1.03329
2024-03-11,1.03476
2024-03-12,1.03462
2024-03-13,1.02929
2024-03-14,1.03463
2024-03-15,1.03821
2024-03-18,1.04196
2024-03-19,1.03772
2024-03-20,1.04431
2024-03-21,1.03754
2024-03-22,1.04049
2024-03-25,1.05131
2024-03-26,1.04589
2024-03-27,1.04282
2024-03-28,1.04337
2024-03-29,1.04079
2024-04-01,1.03302
2024-04-02,1.0334
2024-04-03,1.02806
2024-04-04,1.03048
2024-04-05,1.02595
2024-04-08,1.03363
2024-04-09,1.02961
2024-04-10,1.02799
2024-04-11,1.03204
2024-04-12,1.02601
2024-04-15,1.02717
2024-04-16,1.03355
2024-04-17,1.02556
2024-04-18,1.02654
2024-04-19,1.02788
2024-04-22,1.03175
2024-04-23,1.02574
2024-04-24,1.01924
2024-04-25,1.02189
2024-04-26,1.02338
2024-04-29,1.02461
2024-04-30,1.02626
2024-05-01,1.02316
2024-05-02,1.02423
2024-05-03,1.02555
2024-05-06,1.02247
2024-05-07,1.03057
2024-05-08,1.03282
2024-05-09,1.02735
2024-05-10,1.03044
2024-05-13,1.02596
2024-05-14,1.02963
2024-05-15,1.03501
2024-05-16,1.03117
2024-05-17,1.0357
2024-05-20,1.03766
2024-05-21,1.04148
2024-05-22,1.05029
2024-05-23,1.04908
2024-05-24,1.04542
2024-05-27,1.04115
2024-05-28,1.03727
2024-05-29,1.03693
2024-05-30,1.03852
2024-05-31,1.0398
2024-06-03,1.0435
2024-06-04,1.04358
2024-06-05,1.04994
2024-06-06,1.04876
2024-06-07,1.06098
2024-06-10,1.06435
2024-06-11,1.05987
2024-06-12,1.05434
2024-06-13,1.05687
2024-06-14,1.05575
2024-06-17,1.05931
2024-06-18,1.06166
2024-06-19,1.06133
2024-06-20,1.05738
2024-06-21,1.05035
2024-06-24,1.04821
2024-06-25,1.05229
2024-06-26,1.05333
2024-06-27,1.0476
2024-06-28,1.04843
2024-07-01,1.05023
2024-07-02,1.04626
2024-07-03,1.04698
2024-07-04,1.04726
2024-07-05,1.04236
2024-07-08,1.04394
2024-07-09,1.04638
2024-07-10,1.05103
2024-07-11,1.05565
2024-07-12,1.04959
2024-07-15,1.04534
2024-07-16,1.04771
2024-07-17,1.05004
2024-07-18,1.05235
2024-07-19,1.06942
2024-07-22,1.07291
2024-07-23,1.0797
2024-07-24,1.08547
2024-07-25,1.08941
2024-07-26,1.08757
2024-07-29,1.09194
2024-07-30,1.0876
2024-07-31,1.08631
2024-08-01,1.08372
2024-08-02,1.08417
2024-08-05,1.09607
2024-08-06,1.08529
2024-08-07,1.08955
2024-08-08,1.07984
2024-08-09,1.07691
2024-08-12,1.08356
2024-08-13,1.08398
2024-08-14,1.07765
2024-08-15,1.07347
2024-08-16,1.07741
2024-08-19,1.0733
2024-08-20,1.07453
2024-08-21,1.07479
2024-08-22,1.07141
2024-08-23,1.08249
2024-08-26,1.08615
2024-08-27,1.07482
2024-08-28,1.07598
2024-08-29,1.07212
2024-08-30,1.07704
2024-09-02,1.07255
2024-09-03,1.07193
2024-09-04,1.07469
2024-09-05,1.07932
2024-09-06,1.073
2024-09-09,1.07124
2024-09-10,1.0688
2024-09-11,1.06552
2024-09-12,1.07435
2024-09-13,1.07654
2024-09-16,1.07
2024-09-17,1.07488
2024-09-18,1.08619
2024-09-19,1.09231
2024-09-20,1.08338
2024-09-23,1.08046
2024-09-24,1.08798
2024-09-25,1.08374
2024-09-26,1.08638
2024-09-27,1.09086
2024-09-30,1.08562
2024-10-01,1.08531
2024-10-02,1.0678
2024-10-03,1.06096
2024-10-04,1.05931
2024-10-07,1.05139
2024-10-08,1.06192
2024-10-09,1.05233
2024-10-10,1.04934
2024-10-11,1.05023
2024-10-14,1.05946
2024-10-15,1.05006
2024-10-16,1.05789
2024-10-17,1.05798
2024-10-18,1.05164
2024-10-21,1.05463
2024-10-22,1.05589
2024-10-23,1.0523
2024-10-24,1.05273
2024-10-25,1.05057
2024-10-28,1.05122
2024-10-29,1.05477
2024-10-30,1.06314
2024-10-31,1.05634
2024-11-01,1.06832
2024-11-04,1.0563
2024-11-05,1.05532
2024-11-06,1.05908
2024-11-07,1.06085
2024-11-08,1.05714
2024-11-11,1.05594
2024-11-12,1.05318
2024-11-13,1.04997
2024-11-14,1.05455
2024-11-15,1.05648
2024-11-18,1.0529
2024-11-19,1.05753
2024-11-20,1.05912
2024-11-21,1.06321
2024-11-22,1.06636
2024-11-25,1.06232
2024-11-26,1.05962
2024-11-27,1.06321
2024-11-28,1.06613
2024-11-29,1.06606
2024-12-02,1.06662
2024-12-03,1.07239
2024-12-04,1.06967
2024-12-05,1.07219
2024-12-06,1.0713
2024-12-09,1.07036
2024-12-10,1.07515
2024-12-11,1.07883
2024-12-12,1.08248
2024-12-13,1.08834
2024-12-16,1.08846
2024-12-17,1.09157
2024-12-18,1.09019
2024-12-19,1.09165
2024-12-20,1.0911
2024-12-23,1.09154
2024-12-24,1.09407
2024-12-25,1.09066
2024-12-26,1.09951
2024-12-27,1.09481
2024-12-30,1.08912
2024-12-31,1.0947
2025-01-01,1.09861
2025-01-02,1.10169
2025-01-03,1.10475
2025-01-06,1.10471
2025-01-07,1.10054
2025-01-08,1.10092
2025-01-09,1.09785
2025-01-10,1.10229
2025-01-13,1.10164
2025-01-14,1.09796
2025-01-15,1.09655
2025-01-16,1.09839
2025-01-17,1.09596
2025-01-20,1.09245
2025-01-21,1.09352
2025-01-22,1.09458
2025-01-23,1.09248
2025-01-24,1.09055
2025-01-27,1.09153
2025-01-28,1.0857
2025-01-29,1.07979
2025-01-30,1.07667
2025-01-31,1.07576
2025-02-03,1.07711
2025-02-04,1.08336
2025-02-05,1.08719
2025-02-06,1.0865
2025-02-07,1.08644
2025-02-10,1.08217
2025-02-11,1.08211
2025-02-12,1.0809
2025-02-13,1.08227
2025-02-14,1.07888
2025-02-17,1.08106
2025-02-18,1.08741
2025-02-19,1.08696
2025-02-20,1.0887
2025-02-21,1.09165
2025-02-24,1.08997
2025-02-25,1.09093
2025-02-26,1.09101
2025-02-27,1.09143
2025-02-28,1.08835
2025-03-03,1.08847
2025-03-04,1.09047
2025-03-05,1.09626
2025-03-06,1.10031
2025-03-07,1.10954
2025-03-10,1.10589
2025-03-11,1.11006
2025-03-12,1.11096
2025-03-13,1.12127
2025-03-14,1.11704
2025-03-17,1.1127
2025-03-18,1.10963
2025-03-19,1.09896
2025-03-20,1.09607
2025-03-21,1.092
2025-03-24,1.09283
2025-03-25,1.09461
2025-03-26,1.10415
2025-03-27,1.1094
2025-03-28,1.10626
2025-03-31,1.10146
2025-04-01,1.1041
2025-04-02,1.09724
2025-04-03,1.10706
2025-04-04,1.11388
2025-04-07,1.11116
2025-04-08,1.10149
2025-04-09,1.10959
2025-04-10,1.10891
2025-04-11,1.11628
2025-04-14,1.10672
2025-04-15,1.10301
2025-04-16,1.10306
2025-04-17,1.10336
2025-04-18,1.10083
2025-04-21,1.10429
2025-04-22,1.09852
2025-04-23,1.09777
2025-04-24,1.09843
2025-04-25,1.10109
2025-04-28,1.10471
2025-04-29,1.09911
2025-04-30,1.09142
2025-05-01,1.09814
2025-05-02,1.09995
2025-05-05,1.09606
2025-05-06,1.10412
2025-05-07,1.10477
2025-05-08,1.11104
2025-05-09,1.11142
2025-05-12,1.12228
2025-05-13,1.13252
2025-05-14,1.131
2025-05-15,1.13686
2025-05-16,1.14076
2025-05-19,1.1489
2025-05-20,1.14305
2025-05-21,1.14723
2025-05-22,1.15357
2025-05-23,1.14308
2025-05-26,1.13567
2025-05-27,1.12288
2025-05-28,1.12108
2025-05-29,1.1258
2025-05-30,1.13555
2025-06-02,1.13607
2025-06-03,1.14668
2025-06-04,1.13732
2025-06-05,1.12563
2025-06-06,1.12526
2025-06-09,1.12793
2025-06-10,1.12774
2025-06-11,1.1145
2025-06-12,1.11391
2025-06-13,1.10525
2025-06-16,1.10979
2025-06-17,1.11223
2025-06-18,1.10625
2025-06-19,1.10303
2025-06-20,1.09659
2025-06-23,1.09623
2025-06-24,1.10188
2025-06-25,1.09612
2025-06-26,1.09908
2025-06-27,1.09609
2025-06-30,1.09171
2025-07-01,1.09115
2025-07-02,1.08569
2025-07-03,1.08278
2025-07-04,1.07662
2025-07-07,1.08696
2025-07-08,1.08718
2025-07-09,1.08333
2025-07-10,1.08452
2025-07-11,1.08395
2025-07-14,1.08284
2025-07-15,1.08592
2025-07-16,1.08968
2025-07-17,1.08711
2025-07-18,1.08436
2025-07-21,1.08308
2025-07-22,1.07252
2025-07-23,1.06474
2025-07-24,1.07207
2025-07-25,1.08119
2025-07-28,1.07976
2025-07-29,1.08304
2025-07-30,1.08479
2025-07-31,1.10153
2025-08-01,1.10911
2025-08-04,1.10826
2025-08-05,1.10206
2025-08-06,1.09179
2025-08-07,1.09316
2025-08-08,1.08834
2025-08-11,1.07948
2025-08-12,1.07539
2025-08-13,1.06872
2025-08-14,1.0792
2025-08-15,1.085
2025-08-18,1.08497
2025-08-19,1.09428
2025-08-20,1.0948
2025-08-21,1.08944
2025-08-22,1.09888
2025-08-25,1.10237
2025-08-26,1.0959
2025-08-27,1.09474
2025-08-28,1.08951
2025-08-29,1.08138
2025-09-01,1.08699
2025-09-02,1.09853
2025-09-03,1.08948
2025-09-04,1.09322
2025-09-05,1.08906
2025-09-08,1.08603
2025-09-09,1.08245
2025-09-10,1.07737
2025-09-11,1.07768
2025-09-12,1.07302
2025-09-15,1.07455
2025-09-16,1.0743
2025-09-17,1.07307
2025-09-18,1.06849
2025-09-19,1.0656
2025-09-22,1.06936
2025-09-23,1.07185
2025-09-24,1.06715
2025-09-25,1.06766
2025-09-26,1.07122
2025-09-29,1.06343
2025-09-30,1.06614
2025-10-01,1.06295
2025-10-02,1.0657
2025-10-03,1.06212
2025-10-06,1.05374
2025-10-07,1.04571
2025-10-08,1.04598
2025-10-09,1.04731
2025-10-10,1.04291
2025-10-13,1.04604
2025-10-14,1.0381
2025-10-15,1.03779
2025-10-16,1.0319
2025-10-17,1.0287
2025-10-20,1.02895
2025-10-21,1.02492
2025-10-22,1.02314
2025-10-23,1.02778
2025-10-24,1.02513
2025-10-27,1.02895
2025-10-28,1.02385
2025-10-29,1.02631
2025-10-30,1.03287
2025-10-31,1.02128
2025-11-03,1.01704
2025-11-04,1.0201
2025-11-05,1.01907
2025-11-06,1.02095
2025-11-07,1.01802
2025-11-10,1.01846
2025-11-11,1.01775
2025-11-12,1.02309
2025-11-13,1.0243
2025-11-14,1.02585
2025-11-17,1.02404
2025-11-18,1.02193
2025-11-19,1.0201
2025-11-20,1.02178
2025-11-21,1.02006
2025-11-24,1.02126
2025-11-25,1.02968
2025-11-26,1.03362
2025-11-27,1.03217
2025-11-28,1.03751
2025-12-01,1.03568
2025-12-02,1.0267
2025-12-03,1.02187
2025-12-04,1.01291
2025-12-05,1.01113
2025-12-08,1.01124
2025-12-09,1.0194
2025-12-10,1.02111
2025-12-11,1.02003
2025-12-12,1.0241
2025-12-15,1.01344
2025-12-16,1.01472
2025-12-17,1.01875
2025-12-18,1.01119
2025-12-19,1.01727
2025-12-22,1.0191
2025-12-23,1.01696
2025-12-24,1.02019
2025-12-25,1.03162
2025-12-26,1.03267
2025-12-29,1.03405
2025-12-30,1.03163
2025-12-31,1.02727
2026-01-01,1.03154
2026-01-02,1.02721
2026-01-05,1.02759
2026-01-06,1.02529
2026-01-07,1.02759
2026-01-08,1.02918
2026-01-09,1.03397
2026-01-12,1.03162
2026-01-13,1.03041
2026-01-14,1.02609
2026-01-15,1.02413
2026-01-16,1.0258
2026-01-19,1.02908
2026-01-20,1.02515
2026-01-21,1.02891
2026-01-22,1.03481
2026-01-23,1.03669
2026-01-26,1.04504
2026-01-27,1.04134
2026-01-28,1.03545
2026-01-29,1.02692
2026-01-30,1.0346
2026-02-02,1.03812
2026-02-03,1.03785
2026-02-04,1.0393
2026-02-05,1.03375
2026-02-06,1.04603
2026-02-09,1.0468
2026-02-10,1.04743
2026-02-11,1.05137
2026-02-12,1.05396
2026-02-13,1.05516
2026-02-16,1.05117
2026-02-17,1.05355
2026-02-18,1.06287
2026-02-19,1.07011
2026-02-20,1.07895
2026-02-23,1.07601
2026-02-24,1.07046
2026-02-25,1.06977
2026-02-26,1.0701
2026-02-27,1.07589
2026-03-02,1.06693
2026-03-03,1.07551
2026-03-04,1.07461
2026-03-05,1.07223
2026-03-06,1.06672
2026-03-09,1.05777
2026-03-10,1.06247
2026-03-11,1.0629
2026-03-12,1.05592
2026-03-13,1.04882
2026-03-16,1.04697
2026-03-17,1.05605
2026-03-18,1.05459
2026-03-19,1.0463
2026-03-20,1.04492
2026-03-23,1.04344
2026-03-24,1.02916
2026-03-25,1.02885
2026-03-26,1.0275
2026-03-27,1.03152
2026-03-30,1.04204
2026-03-31,1.04894
2026-04-01,1.04731
2026-04-02,1.04078
2026-04-03,1.05613
2026-04-06,1.05656
2026-04-07,1.05667
2026-04-08,1.05654
2026-04-09,1.05778
2026-04-10,1.05694
2026-04-13,1.05367
2026-04-14,1.05063
2026-04-15,1.05047
2026-04-16,1.04763
2026-04-17,1.04398
2026-04-20,1.04454
2026-04-21,1.04331
2026-04-22,1.05056
2026-04-23,1.03735
2026-04-24,1.04371
2026-04-27,1.05104
2026-04-28,1.03878
2026-04-29,1.0366
2026-04-30,1.03432
2026-05-01,1.02596
2026-05-04,1.02126
2026-05-05,1.01471
2026-05-06,1.02514
2026-05-07,1.03108
2026-05-08,1.03912
2026-05-11,1.04377
2026-05-12,1.0367
2026-05-13,1.03344
2026-05-14,1.03644
2026-05-15,1.02925
2026-05-18,1.03351
2026-05-19,1.03213
2026-05-20,1.03004
2026-05-21,1.03395
2026-05-22,1.03637
2026-05-25,1.03449
2026-05-26,1.04046
2026-05-27,1.03487
2026-05-28,1.0381
2026-05-29,1.04117
2026-06-01,1.03963
2026-06-02,1.04125
2026-06-03,1.03529
2026-06-04,1.03981
2026-06-05,1.03893
2026-06-08,1.03647
2026-06-09,1.04138
2026-06-10,1.03809
2026-06-11,1.03159
2026-06-12,1.0242
2026-06-15,1.02723
2026-06-16,1.02101
2026-06-17,1.02977
2026-06-18,1.01879
2026-06-19,1.02861
2026-06-22,1.02992
2026-06-23,1.02937
2026-06-24,1.02629
2026-06-25,1.02852
2026-06-26,1.02834
2026-06-29,1.03413
2026-06-30,1.03476
2026-07-01,1.03555
2026-07-02,1.03376
2026-07-03,1.0335
2026-07-06,1.03498
2026-07-07,1.02714
2026-07-08,1.02063
2026-07-09,1.02434
2026-07-10,1.0252
2026-07-13,1.02434
2026-07-14,1.02445
2026-07-15,1.02605
2026-07-16,1.02367
2026-07-17,1.02029
